Title,Awards,Nominations
In Beaver Valley,1,1
King Solomon's Mines,2,3
Kon-Tiki,1,1
Panic in the Streets,1,1
Samson and Delilah,2,5
Sunset Boulevard,3,11
The Third Man,1,3
The Titan: Story of Michelangelo,1,1
The Walls of Malapaga,1,0
Why Korea?,1,1
Adventures of Don Juan,1,2
All the King's Men,3,7
Aquatic House Party,1,1
Battleground,2,6
Bicycle Thieves,1,1
Champion,1,6
A Chance to Live,1,1
Daybreak in Udi,1,1
For Scent-imental Reasons,1,1
The Heiress,4,8
A Letter to Three Wives,2,3
Little Women,1,2
Mighty Joe Young,1,1
Neptune's Daughter,1,1
On the Town,1,1
She Wore a Yellow Ribbon,1,1
So Much for So Little,1,1
The Stratton Story,1,1
Twelve O'Clock High,2,4
Van Gogh,1,1
Bill and Coo,1,0
Easter Parade,1,1
Hamlet,4,7
Joan of Arc,3,7
Johnny Belinda,1,12
Key Largo,1,1
The Little Orphan,1,1
Monsieur Vincent,1,0
The Naked City,2,3
The Paleface,1,1
Portrait of Jennie,1,2
The Red Shoes,2,5
Seal Island,1,1
The Search,2,4
The Secret Land,1,1
The Snake Pit,1,6
Symphony of a City,1,1
Toward Independence,1,1
The Treasure of the Sierra Madre,3,4
The Bachelor and the Bobby-Soxer,1,1
The Bishop's Wife,1,5
Black Narcissus,2,2
Body and Soul,1,3
Climbing the Matterhorn,1,1
Design for Death,1,1
A Double Life,2,4
